Id,SalePrice
1461,131000
1462,190000
1463,192000
1464,187500
1465,192000
1466,187000
1467,189000
1468,186500
1469,167000
1470,123000
1471,196000
1472,83000
1473,88000
1474,175500
1475,80000
1476,320000
1477,232000
1478,232000
1479,232000
1480,280000
1481,280000
1482,208900
1483,192000
1484,192000
1485,192000
1486,192500
1487,280000
1488,266000
1489,213500
1490,192000
1491,195000
1492,109500
1493,176000
1494,270000
1495,350000
1496,192000
1497,199900
1498,146000
1499,212000
1500,146000
1501,168500
1502,199900
1503,320000
1504,192000
1505,203000
1506,205000
1507,335000
1508,158000
1509,146000
1510,149900
1511,142000
1512,149900
1513,188000
1514,136500
1515,167500
1516,180500
1517,149000
1518,136500
1519,185000
1520,153000
1521,142000
1522,159000
1523,80000
1524,117500
1525,142000
1526,80000
1527,116000
1528,119500
1529,167000
1530,155000
1531,119500
1532,105000
1533,147000
1534,105000
1535,132000
1536,105000
1537,105000
1538,128000
1539,167500
1540,122000
1541,146000
1542,126000
1543,149000
1544,98000
1545,105000
1546,131000
1547,155000
1548,88000
1549,124900
1550,164000
1551,149000
1552,149000
1553,88000
1554,116000
1555,149900
1556,88000
1557,127000
1558,79000
1559,85000
1560,129900
1561,136500
1562,119500
1563,123000
1564,149900
1565,154000
1566,187500
1567,98000
1568,187500
1569,170000
1570,117000
1571,115000
1572,142000
1573,187500
1574,149900
1575,162000
1576,158000
1577,192000
1578,157500
1579,131500
1580,236000
1581,154000
1582,112500
1583,350000
1584,219500
1585,131500
1586,80000
1587,116000
1588,142000
1589,132500
1590,123000
1591,80000
1592,132000
1593,132500
1594,160000
1595,107000
1596,230000
1597,145000
1598,187500
1599,187500
1600,196000
1601,80000
1602,125500
1603,98000
1604,275000
1605,335000
1606,148000
1607,136500
1608,214000
1609,192000
1610,201000
1611,123000
1612,201000
1613,192000
1614,137500
1615,85000
1616,88000
1617,88000
1618,112500
1619,154000
1620,160000
1621,146000
1622,152000
1623,175000
1624,335000
1625,60000
1626,193500
1627,192000
1628,290000
1629,168500
1630,280000
1631,196000
1632,192000
1633,192000
1634,192000
1635,176500
1636,192000
1637,159000
1638,195000
1639,180500
1640,187500
1641,192000
1642,199900
1643,186500
1644,172500
1645,185000
1646,148500
1647,196000
1648,126000
1649,149900
1650,123000
1651,82500
1652,131500
1653,154000
1654,172500
1655,147000
1656,146000
1657,215000
1658,172500
1659,118000
1660,148000
1661,320000
1662,335000
1663,385000
1664,315000
1665,232000
1666,335000
1667,335000
1668,232000
1669,315000
1670,385000
1671,232000
1672,385000
1673,340000
1674,232000
1675,192000
1676,196000
1677,192000
1678,320000
1679,385000
1680,192000
1681,208900
1682,280000
1683,202500
1684,199900
1685,266000
1686,196000
1687,199900
1688,195000
1689,195000
1690,199900
1691,199900
1692,345000
1693,172500
1694,176500
1695,191000
1696,335000
1697,191000
1698,335000
1699,207500
1700,213000
1701,290000
1702,232000
1703,227000
1704,232000
1705,192000
1706,335000
1707,224900
1708,201000
1709,232000
1710,192000
1711,350000
1712,192000
1713,232000
1714,232000
1715,224900
1716,167500
1717,199900
1718,134000
1719,195000
1720,232000
1721,199900
1722,126000
1723,153500
1724,214000
1725,236000
1726,177500
1727,196000
1728,172500
1729,130500
1730,171000
1731,134000
1732,123000
1733,109500
1734,82500
1735,142000
1736,119000
1737,150000
1738,185000
1739,239000
1740,192000
1741,187500
1742,172500
1743,224900
1744,210000
1745,260000
1746,228000
1747,210000
1748,205000
1749,185000
1750,142000
1751,240000
1752,117500
1753,149900
1754,185000
1755,185000
1756,150000
1757,112500
1758,153000
1759,184000
1760,155000
1761,149900
1762,225000
1763,168000
1764,123000
1765,153500
1766,193500
1767,205000
1768,142000
1769,197900
1770,119500
1771,119000
1772,158000
1773,134000
1774,171000
1775,142000
1776,163500
1777,80000
1778,109500
1779,112000
1780,149000
1781,82500
1782,91000
1783,147000
1784,125500
1785,135500
1786,102000
1787,117000
1788,81000
1789,60000
1790,85000
1791,200000
1792,88000
1793,107000
1794,148000
1795,142000
1796,132000
1797,132500
1798,60000
1799,123000
1800,123000
1801,164000
1802,85000
1803,106000
1804,153500
1805,142000
1806,116000
1807,137000
1808,116000
1809,127000
1810,159000
1811,100000
1812,98000
1813,125500
1814,67000
1815,79900
1816,109500
1817,98000
1818,117500
1819,91000
1820,108000
1821,85000
1822,116000
1823,86000
1824,91000
1825,169000
1826,88000
1827,79900
1828,135000
1829,109500
1830,98000
1831,110000
1832,122000
1833,98000
1834,79000
1835,128000
1836,87000
1837,133000
1838,85000
1839,116000
1840,179000
1841,126000
1842,98000
1843,149900
1844,148000
1845,115000
1846,177000
1847,158000
1848,82000
1849,163500
1850,109500
1851,177500
1852,123000
1853,154000
1854,156000
1855,110000
1856,197900
1857,168000
1858,107500
1859,118858
1860,171000
1861,90000
1862,171000
1863,171000
1864,171000
1865,385000
1866,232000
1867,232000
1868,335000
1869,192000
1870,280000
1871,232000
1872,266000
1873,197900
1874,149900
1875,221000
1876,231500
1877,203000
1878,192000
1879,82500
1880,154000
1881,232000
1882,192000
1883,224900
1884,221000
1885,196000
1886,244000
1887,192000
1888,270000
1889,191000
1890,123000
1891,153500
1892,120500
1893,148000
1894,136500
1895,153000
1896,119500
1897,100000
1898,168000
1899,105000
1900,132500
1901,108000
1902,141000
1903,200000
1904,123000
1905,185000
1906,117000
1907,220000
1908,175500
1909,168000
1910,175500
1911,250000
1912,241500
1913,200000
1914,86000
1915,180000
1916,81000
1917,270000
1918,123000
1919,162000
1920,196000
1921,385000
1922,232000
1923,250000
1924,207500
1925,199900
1926,385000
1927,82500
1928,149900
1929,119000
1930,120000
1931,123000
1932,159500
1933,230000
1934,176500
1935,192000
1936,201000
1937,192000
1938,153500
1939,270000
1940,192000
1941,186500
1942,192000
1943,189000
1944,340000
1945,385000
1946,160000
1947,193000
1948,176000
1949,205000
1950,241500
1951,241500
1952,241500
1953,210000
1954,197900
1955,126000
1956,235000
1957,196000
1958,335000
1959,188000
1960,131500
1961,112500
1962,118000
1963,118000
1964,119500
1965,175500
1966,146000
1967,232000
1968,270000
1969,280000
1970,335000
1971,280000
1972,350000
1973,266000
1974,350000
1975,160000
1976,280000
1977,315000
1978,320000
1979,275000
1980,221000
1981,280000
1982,192000
1983,192000
1984,199900
1985,275000
1986,275000
1987,196000
1988,186500
1989,195000
1990,195000
1991,187500
1992,219500
1993,199900
1994,199900
1995,186500
1996,228000
1997,228000
1998,385000
1999,199900
2000,290000
2001,230000
2002,232000
2003,270000
2004,350000
2005,232000
2006,192000
2007,232000
2008,192000
2009,193000
2010,195000
2011,118500
2012,192000
2013,192000
2014,201000
2015,250000
2016,193000
2017,201000
2018,129000
2019,142000
2020,80000
2021,120500
2022,157000
