Id,SalePrice
1461,127214.89409990984
1462,162759.31991305054
1463,191246.67789911563
1464,208218.17246452812
1465,186869.20377397793
1466,190589.31779590942
1467,198454.23705789784
1468,180798.89441040787
1469,201918.11012270759
1470,122826.40013398824
1471,204626.5215643851
1472,121266.75861760523
1473,114877.5388078186
1474,162134.37683587775
1475,111260.76037818992
1476,303182.6821783273
1477,245769.40767228795
1478,282920.1966556487
1479,266584.2904577487
1480,402193.0967726484
1481,292681.9188088218
1482,212238.55867113458
1483,186795.77998372648
1484,174822.76373218896
1485,197061.98410339316
1486,207935.17106588476
1487,288065.4335339658
1488,251278.5781029387
1489,189002.70185376817
1490,229061.28175202367
1491,209702.66095000308
1492,95235.95516475032
1493,218798.68143185455
1494,284183.4341186577
1495,274467.75100993516
1496,218197.08096555533
1497,173367.32099999022
1498,162109.43579096746
1499,164730.16929963595
1500,163348.8901383321
1501,206584.69319160283
1502,151942.5533027813
1503,266388.258471331
1504,241443.6310854642
1505,229183.31842735637
1506,210027.13711141184
1507,254489.14222211752
1508,215464.97510164586
1509,164251.94119908844
1510,161601.298924756
1511,150961.59430590013
1512,194930.446173671
1513,165462.37727547987
1514,174350.92118461497
1515,228627.59091617502
1516,175089.1257686463
1517,175434.16909277881
1518,142836.25473767362
1519,244220.13357448473
1520,131834.78958845505
1521,130977.39649852112
1522,205826.27413016188
1523,94209.03180269052
1524,107161.48684974242
1525,111985.16567377101
1526,104624.5967082505
1527,109966.43060080103
1528,149695.8475159658
1529,138721.6460142793
1530,222600.94344275558
1531,154753.9558369126
1532,103985.83674363288
1533,146052.11912368913
1534,125156.43161473803
1535,161457.91588744544
1536,112517.55566979354
1537,74310.57701726166
1538,177104.48263254904
1539,216647.3137993131
1540,120421.21202687736
1541,157854.82480552333
1542,146842.8481915947
1543,189799.90412414537
1544,77648.49346064728
1545,113551.12241440995
1546,144115.5504978946
1547,149054.22037122
1548,132818.96127450364
1549,127182.92243904142
1550,138792.11565093618
1551,125833.40630117824
1552,146307.02066671773
1553,154277.46914010745
1554,114668.53871620692
1555,188282.7578367258
1556,89110.72101262625
